DiscretisationParameters_name,Equalisation_NumberOfBins_value,Algorithm,Value,Unit,Discretisation_min_value,Discretisation_min_unit
DiscretisationParameters_1,,FBN,64,,,
DiscretisationParameters_2,,,1,HU,-500,HU
DiscretisationParameters_3,,FBN,8,,,
DiscretisationParameters_4,,FBN,16,,,
DiscretisationParameters_5,,FBN,32,,,
DiscretisationParameters_6,64,FBNequal,8,,,
DiscretisationParameters_7,64,FBNequal,16,,,
DiscretisationParameters_8,64,FBNequal,32,,,
DiscretisationParameters_9,64,FBNequal,64,,,
DiscretisationParameters_10,,FBS,12.5,HU,-500,HU
DiscretisationParameters_11,,FBS,25,HU,-500,HU
DiscretisationParameters_12,,FBS,50,HU,-500,HU
DiscretisationParameters_13,,FBS,100,HU,-500,HU
DiscretisationParameters_14,64,FBSequal,12.5,HU,-500,HU
DiscretisationParameters_15,64,FBSequal,25,HU,-500,HU
DiscretisationParameters_16,64,FBSequal,50,HU,-500,HU
DiscretisationParameters_17,64,FBSequal,100,HU,-500,HU
DiscretisationParameters_18,,FBN,1000,,,